
> rose-kapo-website@0.0.0 dev
> vite --host


  VITE v5.4.21  ready in 139 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.120.63:5173/
2:20:42 PM [vite] hmr update /src/pages/Admin.jsx
2:34:47 PM [vite] hmr update /src/pages/Admin.jsx
2:58:38 PM [vite] hmr update /src/pages/Admin.jsx
3:35:31 PM [vite] hmr update /src/pages/Admin.jsx
3:38:17 PM [vite] hmr update /src/pages/Admin.jsx
3:38:39 PM [vite] hmr update /src/pages/Admin.jsx
3:39:09 PM [vite] hmr update /src/pages/Admin.jsx
3:45:09 PM [vite] hmr update /src/pages/Admin.jsx
3:51:43 PM [vite] hmr update /src/pages/Admin.jsx
4:02:12 PM [vite] hmr update /src/pages/Admin.jsx
4:05:20 PM [vite] hmr update /src/pages/Admin.jsx
4:17:26 PM [vite] hmr update /src/pages/SuiviMessages.jsx
4:27:52 PM [vite] hmr update /src/pages/Admin.jsx
4:28:14 PM [vite] hmr update /src/pages/SuiviMessages.jsx
4:31:06 PM [vite] hmr update /src/pages/Admin.jsx
4:34:22 PM [vite] hmr update /src/pages/Admin.jsx
4:37:07 PM [vite] hmr update /src/pages/Admin.jsx
4:40:29 PM [vite] hmr update /src/pages/Admin.jsx
4:41:01 PM [vite] hmr update /src/pages/Admin.jsx
4:52:25 PM [vite] hmr update /src/pages/Admin.jsx
